text,label
"When my boyfriend asked me to go out with him and I refused  
because I wanted to go out with another guy.  I did go out and my  
boyfriend found out.",guilt
"My partner without discussing with me the situation decided it  
was time for us to have a break and went ahead and arranged his  
own life for the next 6-12 months, then told me the day before it  
was about to happen having been tolerant and friendly for the  
preceding week.",anger
"For a drunk man (about 20 years old) that I met one evening, and  
who behaved impudently with the girls standing by.",disgust
"Listening and watching a tape of someone with AIDS being  
prejudiced against at a counselling course on AIDS with 20  
others.",sadness
"The day when my son said for the first time ""mummy"".",joy
"Last year I passed the B.A exams in Psychology in which I stood first  
in my class.  Thus I got the first prize from the college.  I was  
most happy to tell all this to my parents and friends.",joy
"At school, I had acted against the will of the group, and the  
next day they promised to take revenge on me.",fear
Shame of being reprehended.,shame
"A day I was with my boyfriend and a couple of friends in a bar,  
and he said something that I didn't like (I don't remember what).  
Without thinking I slept him in his back, getting ashamed and  
sorry just after.",shame
"When I made love with someone who I didn't really love. Sometimes  
I even considered him unlikable.",disgust
"Suddenly found out that I was the lasr one to leave the anatomy  
room.",fear
"I was severely reprimanded for a trivial offence in front of  
members of my peer group while still at school.",shame
"When I found out that I had failed to pass my exams during the  
term by one point.  The fact that exactly the same thing had  
happened last term did not help.",sadness
"When we were going to Nkhoma last Saturday the vehicle was moving  
very fast, so I feared we might crash since the road was too  
rough.",fear
"I saw a skid-row (chronical) alcoholic and I was ashamed of the  
people with a high standard of living.",shame
Insulted for no reason.,shame
"The hero was chased by a terrible vampire in a suspense and  
horror film shown on T.V.",fear
When my grandmother died.,sadness
"This issue worried me rather than saddening me.  In mid September  
I went to Guanggho alone.  I was looking for an accomodation in  
the evening and after having walked 2 or 3 miles I still could not  
find anything.  What could I do?  I was not worried about  
sleeping on the streets but because of some procedural problems.   
I finally found a place to sleep at 8 o'clock.",fear
Before the examn.,fear
"My first feeling of falling in love.  Coming across a person who  
made me feel love, happiness, joy, giving me a new and beautiful  
future, who made me dream.",joy
"When a person is privileged in account of situations that are  
unjust, and disloyal to colleagues and friends.",anger
"My grandfather died, when I was an exchange student in the USA.",sadness
"When I had lied, saying that I never take bread from the dinning  
hall and a friend of mine caught me doing it.  He thus proved to  
me that I did in fact take the bread.",guilt
"Fear came towards the end of May when the P.T.S. results were out  
after hearing the failure of my fellow three friends.",fear
"At the age of 16 I had gone to see a film in a nearby village,  
about 8 kms  from my home.  I started walking as there was no  
bus.  I had to cross hills and as it was dark I could not  
identify the path.  Half way through it started raining and as  
there was no shelter I ran four kms to reach home.",fear
"The greatest guilt I felt and I didn't know if it was really  
justified is that when I was a child I had a brother very close  
to me. He  became ill, and asked me to see  him in the hospital.  
I didn't go, when his situation became worse in the U.I.T. (Unity  
of intensive therapy) I went and he died.",guilt
A film on zombies.,fear
"When I saw that the mark I had obtained in an exam was a good  
one.",joy
"When I was informed that I had been accepted as a student of  
Psychology.",joy
I kicked the chair in the classroom to express my anger.,anger
When I was charmed by my relatives.,anger
"A girl with whom I was staying having sex with a person for about  
3 nights running, and then with his brother the following night,  
and back again.",disgust
"I was playing with friends then I decided to splash some sand  
into a car which was moving nearby. The driver got angry and came  
to report to my parents.",fear
A close friend died.,sadness
"When a classmate wanted to sit down, I pulled his chair away, so  
that he was slightly injured.",guilt
"When I passed the driving test three weeks ago and got my  
licence.",joy
When my brother gave me a watch.,joy
At an unjust insult or injure.,sadness
"When my relationship with my family is very poor I often fear  
being excluded from the group, a fear which is stronger in  
situations when an argument is on hand.",fear
"An hour before receiving the certificate results I was very  
frightened.  When I saw others crying I felt very tense and as  
time went by my fear grew.",fear
"I had to go to the dentist's. When he touched my tooth with his  
drill, I was terribly aftaid of the pain I would feel any moment.",fear
"When a ""friend"" dropped a frog down my neck, and I didn't know  
what it was.",disgust
"My parents thought that I didn't do my best to pass the final  
examination (secondary school). When I achieved a good grade they  
said nothing, but if I had had a bad grade they would have become  
very angry.",anger
"That was soon after the results of the interview which nearly  
9,000 people attended in all the three regions of Malawi. My joy  
came after hearing on the radio that I was one of the people  
selected to undergo the Medical Assistant training at the  
L.S.H.S.",joy
"Taking part in the mobbing of some girls in my class in primary  
school.",shame
"I thought that the guy I had been associating with for over a  
year went out 2 or 3 times with a high school girl whom he claimed  
not to like.",disgust
"During the Xmas holiday, I and my best friend at Secondary School  
had planned to meet at a Cultural afternoon at the Mt. Soche  
Hotel after missing each other for such a long time. When I asked  
my mother for permission, she told me not to go for no good  
reason. I felt very angry with her.",anger
"When I lost my grandmother.  She had been my guardian after the  
death of my father.",sadness
"Describing to mother how a hole in the wall had appeared while I  
was babysitting.",guilt
