text,label
"I was delighted when my family surprised me with a birthday celebration.",joy
"I felt deep sadness when I learned that my friend had moved away.",sadness
"I was furious after being blamed for something I did not do.",anger
"I was terrified when I heard a strange noise downstairs at night.",fear
"The disgusting smell from the spoiled food made me feel sick.",disgust
"I could not stop smiling after receiving the good news.",joy
"I cried after the relationship ended and felt completely alone.",sadness
"I felt ashamed after making the mistake in front of everyone.",shame
"I regretted what I had done and felt guilty for hurting my friend.",guilt
"I was angry and frightened when the accident happened.",anger
"I was shocked by the unexpected announcement.",surprise
